Disease;Symptoms;Source
Bunions;['a bulging bump on the outside of the base of your big toe,swelling, redness or soreness around your big toe joint,corns or calluses these often develop where the first and second toes overlap,persistent or intermittent pain,restricted movement of your big toe if arthritis affects the toe,'];"https://www.mayoclinic.org/diseases-conditions/bunions/symptoms-causes/syc-20354799"""
Burning mouth syndrome;['a burning or scalded sensation that most commonly affects your tongue, but may also affect your lips, gums, palate, throat or whole mouth,a sensation of dry mouth with increased thirst,taste changes, such as a bitter or metallic taste,loss of taste,', 'occur every day, with little discomfort when you wake, but become worse as the day progresses,start as soon as you wake up and last all day,come and go,'];"https://www.mayoclinic.org/diseases-conditions/burning-mouth-syndrome/symptoms-causes/syc-20350911"""
Burns;['first-degree burn. this minor burn affects only the outer layer of the skin (epidermis). it may cause redness, swelling and pain. it usually heals with first-aid measures within several days to a week. sunburn is a classic example.,second-degree burn. this type of burn affects both the epidermis and the second layer of skin (dermis). it may cause red, white or splotchy skin, pain, and swelling. and the wound often looks wet or moist. blisters may develop, and pain can be severe. deep second-degree burns can cause scarring.,third-degree burn. this burn reaches into the fat layer beneath the skin. burned areas may be charred black or white. the skin may look waxy or leathery. third-degree burns can destroy nerves, causing numbness. a person with this type of burn may also have difficulty breathing or experience smoke inhalation or carbon monoxide poisoning.,'];"https://www.mayoclinic.org/diseases-conditions/burns/basics/definition/con-20035028"""
Bursitis;['feel achy or stiff,hurt more when you move it or press on it,look swollen and red,'];"https://www.mayoclinic.org/diseases-conditions/bursitis/symptoms-causes/syc-20353242"""
C. difficile infection;['watery diarrhea three or more times a day for two or more days,mild abdominal cramping and tenderness,'];"https://www.mayoclinic.org/diseases-conditions/c-difficile/symptoms-causes/syc-20351691"""
Calciphylaxis;['skin infections, continuous burning and itching sensations, bleeding from the area primarily involved, several red or purple lesions on the abdomen, trunk, buttock and thigh, systemic medial calcification of arteries, calcification of the small vessel walls, possible development of fluid-filled lesions, tissue ischemia, which leads to cell necrosis '];"https://www.mayoclinic.org/diseases-conditions/calciphylaxis/basics/definition/con-20034283"""
Cancer;"[""fatigue,lump or area of thickening that can be felt under the skin,weight changes, including unintended loss or gain,skin changes, such as yellowing, darkening or redness of the skin, sores that won't heal, or changes to existing moles,changes in bowel or bladder habits,persistent cough or trouble breathing,difficulty swallowing,hoarseness,persistent indigestion or discomfort after eating,persistent, unexplained muscle or joint pain,persistent, unexplained fevers or night sweats,unexplained bleeding or bruising,""]";"https://www.mayoclinic.org/diseases-conditions/cancer/basics/definition/con-20032378"""
Canker sore;['are usually small,are oval shaped with a red edge,heal without scarring in one to two weeks,'];"https://www.mayoclinic.org/diseases-conditions/canker-sore/basics/definition/con-20021262"""
Carbon monoxide poisoning;['dull headache,weakness,dizziness,nausea or vomiting,shortness of breath,confusion,blurred vision,loss of consciousness,'];"https://www.mayoclinic.org/diseases-conditions/carbon-monoxide/basics/definition/con-20025444"""
Carcinoid syndrome;[',skin flushing. the skin on your face and upper chest feels hot and changes color ranging from pink to purple. flushing episodes may last from a few minutes to a few hours or longer.,flushing may happen for no obvious reason, though sometimes it can be triggered by stress, exercise or drinking alcohol.,,facial skin lesions. purplish areas of spiderlike veins may appear on the nose and upper lip.,diarrhea. frequent, watery stools sometimes accompanied by abdominal cramps may occur in people who have carcinoid syndrome.,difficulty breathing. asthma-like signs and symptoms, such as wheezing and shortness of breath, may occur at the same time you experience skin flushing.,rapid heartbeat. periods of a fast heart rate could be a sign of carcinoid syndrome.,'];"https://www.mayoclinic.org/diseases-conditions/carcinoid-syndrome/basics/definition/con-20027127"""
Carcinoid tumors;['chest pain,wheezing,shortness of breath,diarrhea,redness or a feeling of warmth in your face and neck (skin flushing),weight gain, particularly around the midsection and upper back,pink or purple marks on the skin that look like stretch marks,'];"https://www.mayoclinic.org/diseases-conditions/carcinoid-tumors/symptoms-causes/syc-20351039"""
Carcinoma of unknown primary;['swollen lymph nodes, pain in your bones, chest or stomach pain or fullness, poor appetite or weight loss, fatigue, or weakness, tumors on your skin, shortness of breath or a persistent cough, anemia, confusion, headache, blurry vision, vomiting, and seizures'];"https://www.mayoclinic.org/diseases-conditions/carcinoma-unknown-primary/basics/definition/con-20034348"""
Cardiomyopathy;['breathlessness with exertion or even at rest,swelling of the legs, ankles and feet,bloating of the abdomen due to fluid buildup,cough while lying down,fatigue,irregular heartbeats that feel rapid, pounding or fluttering,chest pain,dizziness, lightheadedness and fainting,'];"https://www.mayoclinic.org/diseases-conditions/cardiomyopathy/basics/definition/con-20026819"""
Carotid artery disease;['sudden numbness or weakness in the face or limbs, often on only one side of the body, sudden trouble speaking and understanding, sudden trouble seeing in one or both eyes, sudden dizziness or loss of balance, sudden severe headache with no known cause];"https://www.mayoclinic.org/diseases-conditions/carotid-artery-disease/basics/definition/con-20030206"""
Carpal tunnel syndrome;"[',tingling or numbness. you may experience tingling and numbness in your fingers or hand. usually the thumb and index, middle or ring fingers are affected, but not your little finger. sometimes there is a sensation like an electric shock in these fingers.,the sensation may travel from your wrist up your arm. these symptoms often occur while holding a steering wheel, phone or newspaper. the sensation may wake you from sleep.,many people ""shake out"" their hands to try to relieve their symptoms. the numb feeling may become constant over time.,,weakness. you may experience weakness in your hand and a tendency to drop objects. this may be due to the numbness in your hand or weakness of the thumb\'s pinching muscles, which are also controlled by the median nerve.,']";"https://www.mayoclinic.org/diseases-conditions/carpal-tunnel-syndrome/symptoms-causes/syc-20355603"""
Castleman disease;['unicentric castleman disease. this localized form of the disease affects only a single gland (lymph node) in your lymphatic system.,multicentric castleman disease. this type affects multiple lymph nodes and lymphatic tissues, and can severely weaken your immune system. ,', 'multicentric castleman disease without poems syndrome,multicentric castleman disease with poems syndrome that involves areas of abnormal bone (osteosclerotic lesions),multicentric castleman disease with poems syndrome without osteosclerotic lesions,'];"https://www.mayoclinic.org/diseases-conditions/castleman-disease/basics/definition/con-20031703"""
Cataracts;"['clouded, blurred or dim vision,increasing difficulty with vision at night,sensitivity to light and glare,need for brighter light for reading and other activities,seeing ""halos"" around lights,frequent changes in eyeglass or contact lens prescription,fading or yellowing of colors,double vision in a single eye,']";"https://www.mayoclinic.org/diseases-conditions/cataracts/symptoms-causes/syc-20353790"""
Cavernous malformations;['sudden, severe headache,nausea,vomiting,weakness or numbness on one side of the body,difficulties in speaking or understanding speech,loss of vision,double vision,balance difficulties ,'];"https://www.mayoclinic.org/diseases-conditions/cavernous-malformations/symptoms-causes/syc-20360941"""
Cavities/tooth decay;['toothache, spontaneous pain or pain that occurs without any apparent cause,tooth sensitivity,mild to sharp pain when eating or drinking something sweet, hot or cold,visible holes or pits in your teeth,brown, black or white staining on any surface of a tooth,pain when you bite down,'];"https://www.mayoclinic.org/diseases-conditions/cavities/symptoms-causes/syc-20352892"""
Celiac disease;['anemia, usually resulting from iron deficiency,loss of bone density (osteoporosis) or softening of bone (osteomalacia),itchy, blistery skin rash (dermatitis herpetiformis),damage to dental enamel,mouth ulcers,headaches and fatigue,nervous system injury, including numbness and tingling in the feet and hands, possible problems with balance, and cognitive impairment,joint pain,reduced functioning of the spleen (hyposplenism),acid reflux and heartburn,'];"https://www.mayoclinic.org/diseases-conditions/celiac-disease/symptoms-causes/syc-20352220"""
Cellulite;['as fat cells enlarge, they push up against the skin. tough, long connective cords pull down. this creates an uneven surface or dimpling, often referred to as cellulite.'];"https://www.mayoclinic.org/diseases-conditions/cellulite/symptoms-causes/syc-20354945"""
Cellulitis;['red area of skin that tends to expand,swelling,tenderness,pain,warmth,fever,red spots,blisters,skin dimpling,'];"https://www.mayoclinic.org/diseases-conditions/cellulitis/basics/definition/con-20023471"""
Central nervous system vascular malformations;['arteriovenous malformations (avms). arteriovenous malformations are abnormal tangles of blood vessels connecting arteries and veins. avms may occur anywhere in the body but most often occur in or near the brain or the spine.,capillary telangiectasias. capillary telangiectasias are small dilated blood vessels (capillaries).,cavernous malformations. cavernous malformations are abnormally formed blood vessels in your brain or spinal cord that have the appearance of a mulberry.,dural arteriovenous fistulas. dural arteriovenous fistulas are abnormal connections between arteries and the tough covering over the brain or spinal cord (dura) and a draining vein.,venous malformations. venous malformations, also known as developmental venous anomalies, are abnormally enlarged veins in your brain or spinal cord.,'];"https://www.mayoclinic.org/diseases-conditions/central-nervous-system-vascular-malformations/symptoms-causes/syc-20356113"""
Cerebral palsy;['variations in muscle tone, such as being either too stiff or too floppy,stiff muscles and exaggerated reflexes (spasticity),stiff muscles with normal reflexes (rigidity),lack of muscle coordination (ataxia),tremors or involuntary movements,slow, writhing movements (athetosis),delays in reaching motor skills milestones, such as pushing up on arms, sitting up alone or crawling,favoring one side of the body, such as reaching with only one hand or dragging a leg while crawling,difficulty walking, such as walking on toes, a crouched gait, a scissors-like gait with knees crossing, a wide gait or an asymmetrical gait,excessive drooling or problems with swallowing,difficulty with sucking or eating,delays in speech development or difficulty speaking,difficulty with precise motions, such as picking up a crayon or spoon,seizures,', 'difficulty with vision and hearing,intellectual disabilities,seizures,abnormal touch or pain perceptions,oral diseases,mental health (psychiatric) conditions,urinary incontinence,'];"https://www.mayoclinic.org/diseases-conditions/cerebral-palsy/symptoms-causes/syc-20353999"""
Cervical cancer;['vaginal bleeding after intercourse, between periods or after menopause,watery, bloody vaginal discharge that may be heavy and have a foul odor,pelvic pain or pain during intercourse,'];"https://www.mayoclinic.org/diseases-conditions/cervical-cancer/symptoms-causes/syc-20352501"""
Cervical dystonia;['chin toward shoulder,ear toward shoulder,chin straight up,chin straight down,'];"https://www.mayoclinic.org/diseases-conditions/cervical-dystonia/symptoms-causes/syc-20354123"""
Cervical spondylosis;['tingling, numbness and weakness in your arms, hands, legs or feet,lack of coordination and difficulty walking,loss of bladder or bowel control,'];"https://www.mayoclinic.org/diseases-conditions/cervical-spondylosis/basics/definition/con-20027408"""
Cervicitis;"[""large amounts of vaginal discharge that's green, brown or yellow and pus-like and that sometimes has an unpleasant odor,frequent, painful urination,pain during intercourse,vaginal bleeding after intercourse, not associated with a menstrual period,""]";"https://www.mayoclinic.org/diseases-conditions/cervicitis/basics/definition/con-20026738"""
Chagas disease;['swelling at the infection site,fever,fatigue,rash,body aches,eyelid swelling,headache,loss of appetite,nausea, diarrhea or vomiting,swollen glands,enlargement of your liver or spleen,'];"https://www.mayoclinic.org/diseases-conditions/chagas-disease/symptoms-causes/syc-20356212"""
Charcot-Marie-Tooth disease;['weakness in your legs, ankles and feet,loss of muscle bulk in legs and feet,high foot arches,curled toes (hammertoes),decreased ability to run,difficulty lifting your foot at the ankle (footdrop),awkward or higher than normal step (gait),frequent tripping or falling,decreased sensation or a loss of feeling in your legs and feet,'];"https://www.mayoclinic.org/diseases-conditions/charcot-marie-tooth-disease/symptoms-causes/syc-20350517"""
Chemo brain;['being unusually disorganized,confusion,difficulty concentrating,difficulty finding the right word,difficulty learning new skills,difficulty multitasking,fatigue,feeling of mental fogginess,short attention span,short-term memory problems,taking longer than usual to complete routine tasks,trouble with verbal memory, such as remembering a conversation,trouble with visual memory, such as recalling an image or list of words,'];"https://www.mayoclinic.org/diseases-conditions/chemo-brain/symptoms-causes/syc-20351060"""
Chest pain;['pressure, fullness or tightness in your chest,crushing or searing pain that radiates to your back, neck, jaw, shoulders and arms particularly your left arm,pain that lasts more than a few minutes, gets worse with activity, goes away and comes back or varies in intensity,shortness of breath,cold sweats,dizziness or weakness,nausea or vomiting,'];"https://www.mayoclinic.org/diseases-conditions/chest-pain/basics/definition/con-20030540"""
Chiari malformation;['neck pain, unsteady gait (problems with balance), poor hand coordination (fine motor skills), numbness and tingling of the hands and feet, dizziness, difficulty swallowing, sometimes accompanied by gagging, choking and vomiting, vision problems (blurred or double vision), speech problems, such as hoarseness, ringing or buzzing in the ears (tinnitus), weakness, slow heart rhythm, curvature of the spine (scoliosis) related to spinal cord impairment, abnormal breathing, such as central sleep apnea, characterized by periods of breathing cessation during sleep, changes in breathing pattern, swallowing problems, such as gagging, quick downward eye movements, weakness in arms'];"https://www.mayoclinic.org/diseases-conditions/chiari-malformation/symptoms-causes/syc-20354010"""
Chickenpox;['fever,loss of appetite,headache,tiredness and a general feeling of being unwell (malaise),', 'raised pink or red bumps (papules), which break out over several days,small fluid-filled blisters (vesicles), forming from the raised bumps over about one day before breaking and leaking,crusts and scabs, which cover the broken blisters and take several more days to heal,'];"https://www.mayoclinic.org/diseases-conditions/chickenpox/symptoms-causes/syc-20351282"""
Chilblains;['small, itchy red areas on your skin, often on your feet or hands,possible blistering or skin ulcers,swelling of your skin,burning sensation on your skin,changes in skin color from red to dark blue, accompanied by pain,'];"https://www.mayoclinic.org/diseases-conditions/chilblains/symptoms-causes/syc-20351097"""
Child abuse;"[""withdrawal from friends or usual activities,changes in behavior such as aggression, anger, hostility or hyperactivity or changes in school performance,depression, anxiety or unusual fears or a sudden loss of self-confidence,an apparent lack of supervision,frequent absences from school or reluctance to ride the school bus,reluctance to leave school activities, as if he or she doesn't want to go home,attempts at running away,rebellious or defiant behavior,attempts at suicide,""]";"https://www.mayoclinic.org/diseases-conditions/child-abuse/basics/definition/con-20033789"""
Childhood apraxia of speech;"['difficulty moving smoothly from one sound, syllable or word to another,groping movements with the jaw, lips or tongue to make the correct movement for speech sounds,vowel distortions, such as attempting to use the correct vowel, but saying it incorrectly,using the wrong stress in a word, such as pronouncing ""banana"" as ""buh-nan-uh"" instead of ""buh-nan-uh"",using equal emphasis on all syllables, such as saying ""buh-nan-uh"",separation of syllables, such as putting a pause or gap between syllables,inconsistency, such as making different errors when trying to say the same word a second time,difficulty imitating simple words,inconsistent voicing errors, such as saying ""down"" instead of ""town,"" or ""zoo"" instead of ""sue"",', 'reduced amount of babbling or vocal sounds from ages 7 to 12 months old,speaking first words late (after ages 12 to 18 months old),using a limited number of consonants and vowels,frequently leaving out (omitting) sounds,difficult to understand speech,']";"https://www.mayoclinic.org/diseases-conditions/childhood-apraxia-of-speech/symptoms-causes/syc-20352045"""
Childhood asthma;['frequent, intermittent coughing,a whistling or wheezing sound when exhaling,shortness of breath,chest congestion or tightness,chest pain, particularly in younger children,', 'trouble sleeping caused by shortness of breath, coughing or wheezing,bouts of coughing or wheezing that get worse with a respiratory infection, such as a cold or the flu,delayed recovery or bronchitis after a respiratory infection,trouble breathing that may limit play or exercise,fatigue, which can be caused by poor sleep,'];"https://www.mayoclinic.org/diseases-conditions/childhood-asthma/symptoms-causes/syc-20351507"""
Childhood obesity;"[""diet. regularly eating high-calorie foods, such as fast foods, baked goods and vending machine snacks, can easily cause your child to gain weight. candy and desserts also can cause weight gain, and more and more evidence points to sugary drinks, including fruit juices, as culprits in obesity in some people.,lack of exercise. children who don't exercise much are more likely to gain weight because they don't burn as many calories. too much time spent in sedentary activities, such as watching television or playing video games, also contributes to the problem.,family factors. if your child comes from a family of overweight people, he or she may be more likely to put on weight. this is especially true in an environment where high-calorie foods are always available and physical activity isn't encouraged.,psychological factors. personal, parental and family stress can increase a child's risk of obesity. some children overeat to cope with problems or to deal with emotions, such as stress, or to fight boredom. their parents may have similar tendencies.,socioeconomic factors. people in some communities have limited resources and limited access to supermarkets. as a result, they may opt for convenience foods that don't spoil quickly, such as frozen meals, crackers and cookies. in addition, people who live in lower income neighborhoods might not have access to a safe place to exercise.,""]";"https://www.mayoclinic.org/diseases-conditions/childhood-obesity/symptoms-causes/syc-20354827"""
Childhood schizophrenia;['language delays,late or unusual crawling,late walking,other abnormal motor behaviors for example, rocking or arm flapping,'];"https://www.mayoclinic.org/diseases-conditions/childhood-schizophrenia/symptoms-causes/syc-20354483"""
Chlamydia trachomatis;['painful urination,lower abdominal pain,vaginal discharge in women,discharge from the penis in men,painful sexual intercourse in women,bleeding between periods and after sex in women,testicular pain in men,'];"https://www.mayoclinic.org/diseases-conditions/chlamydia/symptoms-causes/syc-20355349"""
Cholangiocarcinoma (bile duct cancer);['intrahepatic cholangiocarcinoma occurs in the parts of the bile ducts within the liver and is sometimes classified as a type of liver cancer.,hilar cholangiocarcinoma occurs in the bile ducts just outside of the liver. this type is also called perihilar cholangiocarcinoma.,distal cholangiocarcinoma occurs in the portion of the bile duct nearest the small intestine.,'];"https://www.mayoclinic.org/diseases-conditions/cholangiocarcinoma/symptoms-causes/syc-20352408"""
Cholecystitis;"[""severe pain in your upper right or center abdomen,pain that spreads to your right shoulder or back,tenderness over your abdomen when it's touched,nausea,vomiting,fever,""]";"https://www.mayoclinic.org/diseases-conditions/cholecystitis/symptoms-causes/syc-20364867"""
Cholera;"[""diarrhea. cholera-related diarrhea comes on suddenly and may quickly cause dangerous fluid loss as much as a quart (about 1 liter) an hour. diarrhea due to cholera often has a pale, milky appearance that resembles water in which rice has been rinsed (rice-water stool).,nausea and vomiting. occurring especially in the early stages of cholera, vomiting may persist for hours at a time.,,dehydration. dehydration can develop within hours after the onset of cholera symptoms. depending on how many body fluids have been lost, dehydration can range from mild to severe. a loss of 10 percent or more of total body weight indicates severe dehydration.,signs and symptoms of cholera dehydration include irritability, lethargy, sunken eyes, a dry mouth, extreme thirst, dry and shriveled skin that's slow to bounce back when pinched into a fold, little or no urine output, low blood pressure, and an irregular heartbeat (arrhythmia).,,""]";"https://www.mayoclinic.org/diseases-conditions/cholera/symptoms-causes/syc-20355287"""
Cholestasis of pregnancy;['yellowing of the skin and whites of the eyes (jaundice),nausea,loss of appetite,'];"https://www.mayoclinic.org/diseases-conditions/cholestasis-of-pregnancy/symptoms-causes/syc-20363257"""
Chondrosarcoma;['chondrosarcoma is a rare type of cancer called a sarcoma, which develops in the bones and soft tissues of the body. most chondrosarcomas begin in the bones. a small number develop in the soft tissues away from bones (extraskeletal chondrosarcomas).'];"https://www.mayoclinic.org/diseases-conditions/chondrosarcoma/symptoms-causes/syc-20354196"""
Chordoma;"["",removing a sample of cells for laboratory testing (biopsy). a biopsy is a procedure to remove a sample of suspicious cells for laboratory testing. in the lab, specially trained doctors called pathologists examine the cells under microscopes to determine whether cancer cells are present.,it is important to seek the opinion of a doctor experienced with diagnosing and treating chordomas. the person performing your biopsy will ideally consult with experienced surgeons to plan the procedure so that it can be done in a way that won't interfere with a later operation.,,obtaining more detailed imaging. your doctor may recommend imaging tests to help visualize your chordoma and determine whether it has spread beyond the spine or skull base. tests may include an mri or ct scan.,""]";"https://www.mayoclinic.org/diseases-conditions/chordoma/cdc-20355401"""
Choroid plexus carcinoma;"[""physical exam. diagnosing a choroid plexus carcinoma usually starts with a medical history review and a neurological exam. during this procedure, your child's vision, hearing, balance, coordination and reflexes are tested.,brain imaging tests. tests to create images of your brain may include magnetic resonance imaging (mri) and computerized tomography (ct). an mri also helps your doctor to plan the surgery.,genetic tests. tests to identify genetic aspects of some choroid plexus carcinomas are available. ask your doctor about genetic counseling.,""]";"https://www.mayoclinic.org/diseases-conditions/choroid-plexus-carcinoma/cdc-20352982"""
Chronic constipation;"[""passing fewer than three stools a week,having lumpy or hard stools,straining to have bowel movements,feeling as though there's a blockage in your rectum that prevents bowel movements,feeling as though you can't completely empty the stool from your rectum,needing help to empty your rectum, such as using your hands to press on your abdomen and using a finger to remove stool from your rectum,""]";"https://www.mayoclinic.org/diseases-conditions/constipation/symptoms-causes/syc-20354253"""
Chronic cough;['a runny or stuffy nose,a feeling of liquid running down the back of your throat (postnasal drip),frequent throat clearing and sore throat,hoarseness,wheezing and shortness of breath,heartburn or a sour taste in your mouth,in rare cases, coughing up blood,'];"https://www.mayoclinic.org/diseases-conditions/chronic-cough/symptoms-causes/syc-20351575"""
Chronic daily headaches;['chronic migraine,chronic tension-type headache,new daily persistent headache,hemicrania continua,'];"https://www.mayoclinic.org/diseases-conditions/chronic-daily-headaches/basics/definition/con-20025386"""
Chronic exertional compartment syndrome;['aching, burning or cramping pain in the affected limb usually the lower leg,tightness in the affected limb,numbness or tingling in the affected limb,weakness of the affected limb,foot drop, in severe cases, if legs are affected,often occurs in the same compartment of both legs,occasionally, swelling or bulging as a result of a muscle hernia,', 'begins after a certain time, distance or intensity of exertion after you start exercising the affected limb,progressively worsens as you exercise,subsides within 10 to 20 minutes of stopping the activity,over time, recovery time after exercise often increases,'];"https://www.mayoclinic.org/diseases-conditions/chronic-exertional-compartment-syndrome/symptoms-causes/syc-20350830"""
Chronic fatigue syndrome;['fatigue,loss of memory or concentration,sore throat,enlarged lymph nodes in your neck or armpits,unexplained muscle or joint pain,headaches,unrefreshing sleep,extreme exhaustion lasting more than 24 hours after physical or mental exercise,'];"https://www.mayoclinic.org/diseases-conditions/chronic-fatigue-syndrome/symptoms-causes/syc-20360490"""
Chronic granulomatous disease;"[""chronic granulomatous disease (cgd) is an inherited (genetic) immune system disorder that occurs when a type of white blood cell (phagocyte) that usually helps your body fight infections doesn't work properly. as a result, the phagocytes can't protect your body from bacterial and fungal infections.""]";"https://www.mayoclinic.org/diseases-conditions/chronic-granulomatous-disease/symptoms-causes/syc-20355817"""
Chronic hives;['batches of red or skin-colored welts (wheals), which can appear anywhere on the body,welts that vary in size, change shape, and appear and fade repeatedly as the reaction runs its course,itching, which may be severe,painful swelling (angioedema) of the lips, eyelids and inside the throat,a tendency for signs and symptoms to flare with triggers such as heat, exercise and stress,a tendency for signs and symptoms to persist for more than six weeks and to recur frequently and unpredictably, sometimes for months or years,'];"https://www.mayoclinic.org/diseases-conditions/chronic-hives/symptoms-causes/syc-20352719"""
Chronic kidney disease;"[""nausea,vomiting,loss of appetite,fatigue and weakness,sleep problems,changes in how much you urinate,decreased mental sharpness,muscle twitches and cramps,swelling of feet and ankles,persistent itching,chest pain, if fluid builds up around the lining of the heart,shortness of breath, if fluid builds up in the lungs,high blood pressure (hypertension) that's difficult to control,""]";"https://www.mayoclinic.org/diseases-conditions/chronic-kidney-disease/symptoms-causes/syc-20354521"""
Chronic lymphocytic leukemia;['enlarged, but painless, lymph nodes,fatigue,fever,pain in the upper left portion of the abdomen, which may be caused by an enlarged spleen,night sweats,weight loss,frequent infections,'];"https://www.mayoclinic.org/diseases-conditions/chronic-lymphocytic-leukemia/symptoms-causes/syc-20352428"""
Chronic myelogenous leukemia;['easy bleeding,feeling run-down or tired,fever,losing weight without trying,loss of appetite,pain or fullness below the ribs on the left side,pale skin,sweating excessively during sleep (night sweats),'];"https://www.mayoclinic.org/diseases-conditions/chronic-myelogenous-leukemia/symptoms-causes/syc-20352417"""
Chronic pelvic pain in women;['severe and steady pain,pain that comes and goes (intermittent),dull aching,sharp pains or cramping,pressure or heaviness deep within your pelvis,', 'pain during intercourse,pain while having a bowel movement or urinating,pain when you sit for long periods of time,'];"https://www.mayoclinic.org/diseases-conditions/chronic-pelvic-pain/symptoms-causes/syc-20354368"""
Chronic sinusitis;['thick, discolored discharge from the nose or drainage down the back of the throat (postnasal drainage),nasal obstruction or congestion, causing difficulty breathing through your nose,pain, tenderness and swelling around your eyes, cheeks, nose or forehead,reduced sense of smell and taste in adults or cough in children,', 'ear pain,aching in your upper jaw and teeth,cough that might worsen at night,sore throat,bad breath (halitosis),fatigue or irritability,nausea,'];"https://www.mayoclinic.org/diseases-conditions/chronic-sinusitis/symptoms-causes/syc-20351661"""
Chronic traumatic encephalopathy;['difficulty thinking (cognitive impairment),impulsive behavior,depression or apathy,short-term memory loss,difficulty planning and carrying out tasks (executive function),emotional instability,substance abuse,suicidal thoughts or behavior,', 'irritability,aggression,speech and language difficulties,motor impairment, such as difficulty walking, tremor, loss of muscle movement, weakness or rigidity,trouble swallowing (dysphagia),vision and focusing problems,trouble with sense of smell (olfactory abnormalities),dementia,'];"https://www.mayoclinic.org/diseases-conditions/chronic-traumatic-encephalopathy/basics/definition/con-20113581"""
Churg-strauss syndrome;"["",asthma. the primary sign of churg-strauss syndrome, asthma develops on average three to nine years before other signs and symptoms appear. in people with churg-strauss syndrome who already have asthma, symptoms usually become worse and may require steroids for control.,other people develop what is known as late-onset asthma. developing asthma, even later in life, doesn't necessarily mean that you have churg-strauss syndrome.,,hay fever (allergic rhinitis). this affects the mucous membranes of your nose, causing a runny nose, sneezing and itching.,sinus pain and inflammation (sinusitis). you may experience facial pain and develop nasal polyps, which are soft, noncancerous (benign) growths that develop as a result of chronic inflammation.,""]";"https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760"""
Cirrhosis;['fatigue,bleeding easily,bruising easily,itchy skin,yellow discoloration in the skin and eyes (jaundice),fluid accumulation in your abdomen (ascites),loss of appetite,nausea,swelling in your legs,weight loss,confusion, drowsiness and slurred speech (hepatic encephalopathy),spiderlike blood vessels on your skin,redness in the palms of the hands,testicular atrophy in men,breast enlargement in men,'];"https://www.mayoclinic.org/diseases-conditions/cirrhosis/symptoms-causes/syc-20351487"""
Claudication;"[""pain when exercising. you may feel pain or discomfort in your feet, calves, thighs, hips or buttocks, depending on where you might have artery narrowing or damage. claudication can also occur in your arms, although this is less common.,intermittent pain. your pain may come and go as you do less-strenuous activities.,pain when at rest. as your condition progresses, you may feel pain in your legs even when you're sitting or lying down.,discolored skin or ulcerations. if blood flow is severely reduced, your toes or fingers may look bluish or feel cold to the touch. you may also develop sores on your lower legs, feet, toes, arms or fingers.,"", 'an aching or burning feeling,weakness,']";"https://www.mayoclinic.org/diseases-conditions/claudication/basics/definition/con-20033581"""
Cleft lip and cleft palate;"[""a split in the lip and roof of the mouth (palate) that can affect one or both sides of the face,a split in the lip that can appear as only a small notch in the lip or can extend from the lip through the upper gum and palate into the bottom of the nose,a split in the roof of the mouth that doesn't affect the appearance of the face,"", 'difficulty with feedings,difficulty swallowing, with potential for liquids or foods to come out the nose,nasal speaking voice,chronic ear infections,']";"https://www.mayoclinic.org/diseases-conditions/cleft-palate/basics/definition/con-20024619"""
Clubfoot;"[""family history. if either of the parents or their other children have had clubfoot, the baby is more likely to have it as well.,congenital conditions. in some cases, clubfoot can be associated with other abnormalities of the skeleton that are present at birth (congenital), such as spina bifida, a serious birth defect that occurs when the tissue surrounding the developing spinal cord of a fetus doesn't close properly.,environment. if a woman with a family history of clubfoot smokes during pregnancy, her baby's risk of the condition may be double that of nonsmokers. also, getting an infection or using recreational drugs during pregnancy can increase the risk of clubfoot.,not enough amniotic fluid during pregnancy. too little of the fluid that surrounds the baby in the womb may increase the risk of clubfoot.,""]";"https://www.mayoclinic.org/diseases-conditions/clubfoot/symptoms-causes/syc-20350860"""
Cluster headache;['excruciating pain, generally situated in or around one eye, but may radiate to other areas of your face, head, neck and shoulders,one-sided pain,restlessness,excessive tearing,redness in your eye on the affected side,stuffy or runny nose on the affected side,forehead or facial sweating,pale skin (pallor) or flushing on your face,swelling around your eye on the affected side,drooping eyelid,'];"https://www.mayoclinic.org/diseases-conditions/cluster-headache/symptoms-causes/syc-20352080"""
Coarctation of the aorta;['pale skin,irritability,heavy sweating,difficulty breathing,difficulty feeding,', 'high blood pressure,headache,muscle weakness,leg cramps or cold feet,nosebleeds,chest pain,'];"https://www.mayoclinic.org/diseases-conditions/coarctation-of-the-aorta/symptoms-causes/syc-20352529"""
Cold sore;['tingling and itching. many people feel an itching, burning or tingling sensation around their lips for a day or so before a small, hard, painful spot appears and blisters erupt.,blisters. small fluid-filled blisters typically break out along the border where the outside edge of the lips meets the skin of the face. cold sores can also occur around the nose or on the cheeks.,oozing and crusting. the small blisters may merge and then burst, leaving shallow open sores that will ooze fluid and then crust over.,', 'fever ,painful eroded gums,sore throat,headache,muscle aches,swollen lymph nodes,'];"https://www.mayoclinic.org/diseases-conditions/cold-sore/basics/definition/con-20021310"""
Cold urticaria;['temporary reddish, itchy welts (hives) on the area of skin that was exposed to cold,a worsening of the reaction as the skin warms,swelling of hands when holding cold objects,swelling of lips and throat when consuming cold food or drink,'];"https://www.mayoclinic.org/diseases-conditions/cold-urticaria/basics/definition/con-20034524"""
